ID_REGIAO;DISTRITO;Populaçãototal;Populaçãopretaeparda;Populaçãofeminina;PopulaçãoInfantil;Populaçãojovem;Densidadedomiciliar;Favelas;Ofertadeempregoformal;Remuneraçãomédiamensaldoempregoformal;ProporçãodeImpostosobreserviçoISSarrecadado;Acessoatransportedemassa;Acessoainfraestruturacicloviária;Ocorrênciasdetrânsito;Mortesnotrânsito;AcessointernetMapeamentodasantenasáreakm;AcessointernetMapeamentodasantenasPopulaçãodistrito;Violênciacontraamulhertodas;Violênciacontraamulherfeminicídio;ViolênciaLGBTQIAP+;Violênciaracial;Homicídiosdejovens;Agressõesporintervençãopolicial;Mortesporintervençãopolicial;Idademédiaaomorrer;MortalidadeporCovid19;Gravideznaadolescência;Mortalidadematerna;Mortalidadeinfantil;Mortalidadepordoençasdoaparelhocirculatório;Mortalidadepordoençasdoaparelhorespiratório;TempomédioparaconsultasnaAtençãoBásica;TempomédioparaconsultasnaAtençãoEspecializada;Tempomédiopararealizaçãodeexamesespecializados;TempomédioemdiasparaConsultascomPsiquiatras;ICSAP–InternaçõesporCondiçõesSensíveisàAtençãoPrimária;CoberturaestimadaAtençãoBásica;CoberturaestimadaESF;Tempodeatendimentoparavagaemcreche;MatrículasnoEnsinoBásicoemescolaspúblicas;DistorçãoIdadeSérienoEnsinoFundamentaldaredemunicipal;AbandonoescolarnoEnsinoFundamentaldaredemunicipal;ÍndicedoNívelSocioeconômicodasEscolasINSE;Centrosculturais,casaseespaçosdecultura;Equipamentospúblicosdecultura;Cinemas;Museus;Teatros;Espaçosculturaisindependentes;Ocupaçõesculturais;EquipamentosculturaiscomWiFi;Equipamentospúblicosdeesporte
47;Mandaqui;109.228;24.3;53.1;7.9;35.7;2.9;3.1;2.3;3.572;0.13;0;57.8;8.9;5.5;2.9;3.5;191.6;0;0.92;2.93;22.5;0;0.9;71.8;18.6;6.9;31;12.2;96.4;24.9;32;40;70;281;24.06;33.8;6.4;76;67.3;10.4;0;5.35;0;0.92;0;0;0;0.9;1.83;0;0.3
48;Marsilac;8.426;48.6;49.5;8.7;47;3.2;2.7;6.8;2.636;não aplicável;0;0;7.1;0;0;4.7;249.8;0;23.74;0;0;0;7.9;65.5;10.6;15.7;0;9.3;149.6;49.9;10;40;45;14;38.8;100;100;158;100;não aplicável;não aplicável;5.18;0;0;0;0;0;0;0;0;0
26;Moema;89.382;5.8;54.2;6.1;26.5;2.3;0;9.5;3.666;2.69;40.3;87.2;9.1;3.4;21.6;21.9;135.9;0;0;4.59;0;0;1.9;79.5;16.7;0.3;40.8;6.6;27.6;0;21;47;36;21;5.11;13.4;0.1;81;19.6;8.3;0;5.41;0;4.48;0;0.22;0.11;0;0;0;0.3
49;Moóca;80.330;12.3;52.9;7.6;32.2;2.8;0.2;7.4;2.833;0.51;18.1;25.4;15.6;5;7.7;7.6;247;0;1.24;3.73;14.4;0.8;0.8;77.6;15.8;3.7;39.9;6.6;79.3;8.3;50;64;39;87;21.26;19.5;0.1;91;52.9;8.9;0.42;5.38;0;2.49;0;0.12;0.25;0;0;0.12;0.2
50;Morumbi;52.921;19.5;53.2;9.3;37.1;2.9;14.1;13.9;4.464;0.66;23.3;60.4;17.6;9.4;10.4;22.7;162.3;0;1.89;1.7;39.6;0;1.3;75.3;20.6;7.3;0;3.8;32.8;13.1;8;25;31;18;10.71;36.7;26.7;44;26.1;14.5;0;5.13;0;1.89;0;0.19;0;0;0;0.19;0
51;Parelheiros;153.598;56.6;51;11.8;50;3.2;8.3;0.5;2.341;0.03;0;9.7;6.1;6.5;0.2;1.7;300.1;2.58;0;0.26;12.3;0.4;2.4;59.2;15.1;12.2;51.8;11;164.3;45;30;42;54;18;29.21;100;100;91;96.3;8.2;0;5.09;0.07;1.95;0;0;0;0;0;0.13;0.2
52;Pari;19.069;34.7;52.4;11;40.9;3;2.1;11.8;2.323;0.77;2.4;100;28.8;26.2;12.5;17.8;433.1;0;0;1.57;0;1.8;0;68.9;20.6;9.7;0;14.7;125;20.8;16;33;35;26;39.87;100;80.9;106;61.6;8.7;0.19;5.13;0;5.24;0;0;0;0;0;0;1.6
53;Parque do Carmo;71.749;40.7;51.4;9.8;43.5;3.1;16.6;3.4;2.692;0.05;0;29.2;13;9.8;1.4;3.1;284.1;2.74;0;1.81;5.9;1.4;3.3;65.4;23.4;9.9;31.2;14.2;85.1;5.3;30;41;52;19;28.77;100;100;68;79.9;7.9;0.24;5.22;0;1.39;0;0;0;0;0;0;0.1
54;Pedreira;160.976;52.4;51.6;9.6;45;3.1;18.4;1.2;2.949;0.03;0;2.2;5.3;3.1;1.8;2;179.4;0.59;0;0.68;12.4;0.2;2.3;62.7;18.9;10.4;60;11.6;118.7;19;31;30;60;27;40.79;100;94.2;134;89.7;7.7;0.01;5.01;0;1.24;0;0;0.06;0;0;0.06;0.2
55;Penha;129.100;23.9;53.4;8;35.3;2.9;6.1;2.7;2.608;0.16;22.7;58.1;12.3;9.3;5.4;4.8;257.2;0.51;0;1.86;27.5;0.5;3.1;72.7;16.1;7.2;63.4;7.3;80.4;25;37;29;38;53;23.24;31.6;13.3;35;61.7;10.6;0;5.34;0.08;2.32;0;0;0.08;0.8;0.77;0.15;0.2
